  59,  68,  85, 121, 159, 186, 197
 202, 211, 233, 274, 309, 346, 370
 383, 393, 412, 436, 463, 487, 491
 496, 505, 517, 539, 563, 581, 589
 592, 601, 613, 640, 664, 687, 693
 694, 703, 713, 737, 762, 784, 807 
 965, 974,1003,1029,1054,1074,1080
1083,1092,1105,1129,1153,1069,1072
1174,1183,1198,1223,1247,1263,1268
1508,1517,1534,1558,1582,1604,1612
1617,1626,1638,1664,1687,1711,1731
2035,2044,2060,2086,2115,2149,2156
2162,2172,2187,2213,2259,2284,2300
2303,2312,2326,2353,2379,2399,2407
2410,2419,2431,2457,2481,2502,2508
2619,2628,2640,2664,2690,2712,2722